MTSS,D,04/01/16,00:00,208.45,631,620
MTSS,D,05/01/16,00:00,210.75,651,610
MTSS,D,06/01/16,00:00,210,1,048,440
MTSS,D,11/01/16,00:00,200.55,5,064,120
MTSS,D,12/01/16,00:00,205,3,497,980
MTSS,D,13/01/16,00:00,208,3,942,520
MTSS,D,14/01/16,00:00,210.85,3,371,540
MTSS,D,15/01/16,00:00,205,5,054,500
MTSS,D,18/01/16,00:00,205.4,1,313,760
MTSS,D,19/01/16,00:00,208,3,054,900
MTSS,D,20/01/16,00:00,204.8,3,576,940
MTSS,D,21/01/16,00:00,211.7,3,371,550
MTSS,D,22/01/16,00:00,216.5,4,905,660
MTSS,D,25/01/16,00:00,215.5,2,982,770
MTSS,D,26/01/16,00:00,218.1,2,140,250
MTSS,D,27/01/16,00:00,224,4,450,850
MTSS,D,28/01/16,00:00,227.2,4,329,410
MTSS,D,29/01/16,00:00,226,4,198,010
MTSS,D,01/02/16,00:00,227,1,966,040
MTSS,D,02/02/16,00:00,229.5,3,616,940
MTSS,D,03/02/16,00:00,230.6,2,921,630
MTSS,D,04/02/16,00:00,232,5,624,970
MTSS,D,05/02/16,00:00,231.85,2,876,890
MTSS,D,08/02/16,00:00,227,1,773,700
MTSS,D,09/02/16,00:00,229,1,593,080
MTSS,D,10/02/16,00:00,227.6,2,399,530
MTSS,D,11/02/16,00:00,226.3,4,550,530
MTSS,D,12/02/16,00:00,229.75,2,020,150
MTSS,D,15/02/16,00:00,228.5,1,167,230
MTSS,D,16/02/16,00:00,233,1,748,730
MTSS,D,17/02/16,00:00,234.2,3,531,580
MTSS,D,18/02/16,00:00,238,4,408,150
MTSS,D,19/02/16,00:00,236.8,2,951,450
MTSS,D,20/02/16,00:00,235.45,437,960
MTSS,D,22/02/16,00:00,238,1,105,670
MTSS,D,24/02/16,00:00,228,3,839,160
MTSS,D,25/02/16,00:00,228.1,3,024,240
MTSS,D,26/02/16,00:00,230.25,2,913,050
MTSS,D,29/02/16,00:00,233,3,514,030
MTSS,D,01/03/16,00:00,230.95,2,140,170
MTSS,D,02/03/16,00:00,231,964,910
MTSS,D,03/03/16,00:00,234.5,2,981,410
MTSS,D,04/03/16,00:00,234.65,1,581,650
MTSS,D,07/03/16,00:00,239.65,2,736,030
MTSS,D,09/03/16,00:00,236.5,3,107,960
MTSS,D,10/03/16,00:00,232.8,2,211,880
MTSS,D,11/03/16,00:00,231.85,3,299,170
MTSS,D,14/03/16,00:00,232.9,1,449,260
MTSS,D,15/03/16,00:00,232.15,3,776,890
MTSS,D,16/03/16,00:00,236.95,1,908,920
MTSS,D,17/03/16,00:00,236,5,154,900
MTSS,D,18/03/16,00:00,234.5,3,288,990
MTSS,D,21/03/16,00:00,237.2,2,518,130
MTSS,D,22/03/16,00:00,239.9,3,382,420
MTSS,D,23/03/16,00:00,235.5,2,772,710
MTSS,D,24/03/16,00:00,236,2,263,720
MTSS,D,25/03/16,00:00,236.5,555,030
MTSS,D,28/03/16,00:00,236.95,1,059,250
MTSS,D,29/03/16,00:00,235.4,1,333,620
MTSS,D,30/03/16,00:00,236.35,1,734,490
MTSS,D,31/03/16,00:00,240.1,2,902,800
MTSS,D,01/04/16,00:00,237.6,2,625,890
MTSS,D,04/04/16,00:00,236.45,1,451,760
MTSS,D,05/04/16,00:00,233.3,2,902,070
MTSS,D,06/04/16,00:00,231.9,1,786,190
MTSS,D,07/04/16,00:00,234.4,2,468,700
MTSS,D,08/04/16,00:00,238.1,3,242,570
MTSS,D,11/04/16,00:00,251.5,6,305,090
MTSS,D,12/04/16,00:00,250,6,354,370
MTSS,D,13/04/16,00:00,251.7,3,194,310
MTSS,D,14/04/16,00:00,251.75,3,185,410
MTSS,D,15/04/16,00:00,252,1,552,140
MTSS,D,18/04/16,00:00,249.5,1,941,510
MTSS,D,19/04/16,00:00,259.45,4,409,500
MTSS,D,20/04/16,00:00,257.2,7,017,790
MTSS,D,21/04/16,00:00,257.4,1,757,480
MTSS,D,22/04/16,00:00,258.5,2,014,650
MTSS,D,25/04/16,00:00,257.1,1,423,630
MTSS,D,26/04/16,00:00,256,1,229,400
MTSS,D,27/04/16,00:00,256.7,1,793,180
MTSS,D,28/04/16,00:00,256.65,1,802,140
MTSS,D,29/04/16,00:00,253,3,000,780
MTSS,D,04/05/16,00:00,257.2,1,440,760
MTSS,D,05/05/16,00:00,256.75,2,000,600
MTSS,D,06/05/16,00:00,262.05,2,545,830
MTSS,D,10/05/16,00:00,253,3,347,460
MTSS,D,11/05/16,00:00,253,1,327,330
MTSS,D,12/05/16,00:00,255.2,1,399,890
MTSS,D,13/05/16,00:00,256.1,1,185,990
MTSS,D,16/05/16,00:00,259.2,2,699,160
MTSS,D,17/05/16,00:00,259.45,1,544,420
MTSS,D,18/05/16,00:00,262.9,2,967,580
MTSS,D,19/05/16,00:00,252.6,2,674,150
MTSS,D,20/05/16,00:00,258,2,100,410
MTSS,D,23/05/16,00:00,253.1,2,024,660
MTSS,D,24/05/16,00:00,254.8,1,224,450
MTSS,D,25/05/16,00:00,256,1,635,190
MTSS,D,26/05/16,00:00,254.7,1,442,500
MTSS,D,27/05/16,00:00,255.8,747,800
MTSS,D,30/05/16,00:00,255.55,504,120
MTSS,D,31/05/16,00:00,257.15,1,580,930
MTSS,D,01/06/16,00:00,251.9,2,564,810
